zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
19701,STANDARD,0,Bear,,,DE,New Castle County,America/New_York,302,NA,US,39.58,-75.68,40780
19702,STANDARD,0,Newark,Christiana,,DE,New Castle County,America/New_York,"302, 410, 443, 667",NA,US,39.62,-75.73,50470
19703,STANDARD,0,Claymont,,,DE,New Castle County,America/New_York,"302, 484, 610, 835",NA,US,39.8,-75.45,14140
19706,PO BOX,0,Delaware City,,,DE,New Castle County,America/New_York,302,NA,US,39.57,-75.6,1850
19707,STANDARD,0,Hockessin,,,DE,New Castle County,America/New_York,"302, 484, 610, 835",NA,US,39.78,-75.68,16490
19708,PO BOX,0,Kirkwood,,,DE,New Castle County,America/New_York,302,NA,US,39.57,-75.63,104
19709,STANDARD,0,Middletown,,,DE,New Castle County,America/New_York,"302, 410, 443, 667",NA,US,39.45,-75.71,49350
19710,PO BOX,0,Montchanin,,,DE,New Castle County,America/New_York,302,NA,US,39.79,-75.58,450
19711,STANDARD,0,Newark,,,DE,New Castle County,America/New_York,"302, 410, 443, 484, 610, 667, 835",NA,US,39.71,-75.74,38720
19712,UNIQUE,0,Newark,,Shared Firm Zip,DE,New Castle County,America/New_York,302,NA,US,39.67,-75.75,21
19713,STANDARD,0,Newark,,,DE,New Castle County,America/New_York,"302, 410, 443, 667",NA,US,39.67,-75.75,28130
19714,PO BOX,0,Newark,,,DE,New Castle County,America/New_York,302,NA,US,39.67,-75.75,1499
19715,PO BOX,0,Newark,,,DE,New Castle County,America/New_York,302,NA,US,39.67,-75.75,120
19716,STANDARD,0,Newark,,,DE,New Castle County,America/New_York,302,NA,US,39.67,-75.75,46
19717,STANDARD,0,Newark,,,DE,New Castle County,America/New_York,302,NA,US,39.68,-75.75,30
19718,UNIQUE,0,Newark,,Christiana Medical Center,DE,New Castle County,America/New_York,302,NA,US,39.67,-75.75,0
19720,STANDARD,0,New Castle,"Historic New Castle, Hst Newcastle, Manor",Minquadale,DE,New Castle County,America/New_York,302,NA,US,39.66,-75.57,53510
19721,UNIQUE,0,New Castle,,Citibank,DE,New Castle County,America/New_York,302,NA,US,39.66,-75.57,88
19725,UNIQUE,0,Newark,,Shared Firm Zip,DE,New Castle County,America/New_York,302,NA,US,39.67,-75.75,0
19726,UNIQUE,0,New Castle,,Shared Firm Zip,DE,New Castle County,America/New_York,302,NA,US,39.67,-75.75,0
19730,PO BOX,0,Odessa,,,DE,New Castle County,America/New_York,302,NA,US,39.45,-75.66,642
19731,PO BOX,0,Port Penn,,,DE,New Castle County,America/New_York,302,NA,US,39.51,-75.6,251
19732,PO BOX,0,Rockland,,,DE,New Castle County,America/New_York,302,NA,US,39.8,-75.57,208
19733,PO BOX,0,Saint Georges,,,DE,New Castle County,America/New_York,302,NA,US,39.56,-75.65,420
19734,STANDARD,0,Townsend,,Blackbird,DE,New Castle County,America/New_York,"302, 410, 443, 667",NA,US,39.39,-75.69,13300
19735,STANDARD,0,Winterthur,,,DE,New Castle County,America/New_York,302,NA,US,39.81,-75.6,17
19736,STANDARD,0,Yorklyn,,,DE,New Castle County,America/New_York,302,NA,US,39.78,-75.64,190
19801,STANDARD,0,Wilmington,,,DE,New Castle County,America/New_York,302,NA,US,39.73,-75.54,11910
19802,STANDARD,0,Wilmington,,,DE,New Castle County,America/New_York,302,NA,US,39.76,-75.53,20340
19803,STANDARD,0,Wilmington,Talleyville,,DE,New Castle County,America/New_York,"302, 484, 610, 835",NA,US,39.8,-75.54,20760
19804,STANDARD,0,Wilmington,"Newport, Stanton",,DE,New Castle County,America/New_York,302,NA,US,39.72,-75.62,17210
19805,STANDARD,0,Wilmington,Elsmere,,DE,New Castle County,America/New_York,302,NA,US,39.74,-75.59,34170
19806,STANDARD,0,Wilmington,,,DE,New Castle County,America/New_York,302,NA,US,39.76,-75.56,7700
19807,STANDARD,0,Wilmington,Greenville,,DE,New Castle County,America/New_York,"302, 484, 610, 835",NA,US,39.8,-75.61,8060
19808,STANDARD,0,Wilmington,Marshallton,,DE,New Castle County,America/New_York,302,NA,US,39.74,-75.67,36270
